time,   dc, temp, xaxis, yaxis, zaxis
  15,    0, 26.2, -1.04, -1.83, -0.40
  30,    1, 26.2, -1.04, -1.83, -0.37
  45,    1, 26.6, -1.05, -1.81, -0.40
  60,    1, 27.1, -1.02, -1.77, -0.42
  75,    1, 27.5, -1.04, -1.80, -0.39
  90,    1, 27.8, -1.04, -1.81, -0.46
 105,    1, 28.1, -1.05, -1.75, -0.44
 120,    1, 28.3, -1.02, -1.75, -0.46
 135,    1, 28.6, -1.03, -1.76, -0.47
 150,    1, 28.7, -1.02, -1.75, -0.46
 165,    1, 29.0, -0.99, -1.75, -0.42
 180,    1, 29.1, -1.00, -1.73, -0.46
 195,    2, 29.3, -0.99, -1.74, -0.47
 210,    2, 29.6, -1.00, -1.74, -0.48
 225,    2, 29.9, -1.00, -1.73, -0.48
 240,    2, 30.0, -0.96, -1.73, -0.46
 255,    3, 30.3, -0.98, -1.73, -0.51
 270,    4, 30.6, -0.96, -1.70, -0.50
 285,    4, 30.8, -0.96, -1.70, -0.52
 300,    4, 31.1, -0.94, -1.69, -0.56
 315,    4, 31.3, -0.94, -1.70, -0.54
 330,    5, 31.6, -0.93, -1.73, -0.52
 345,    5, 31.7, -0.90, -1.71, -0.55
 360,    6, 32.0, -0.89, -1.71, -0.54
 375,    6, 32.1, -0.88, -1.72, -0.55
 390,    6, 32.3, -0.87, -1.74, -0.54
 405,    6, 32.4, -0.85, -1.72, -0.55
 420,    6, 32.6, -0.85, -1.71, -0.57
 435,    6, 32.7, -0.83, -1.75, -0.58
 450,    6, 32.9, -0.86, -1.74, -0.58
 465,    7, 33.1, -0.83, -1.76, -0.59
 480,    7, 33.2, -0.80, -1.76, -0.60
 495,    7, 33.3, -0.78, -1.76, -0.57
 510,    7, 33.5, -0.77, -1.78, -0.62
 525,    8, 33.6, -0.77, -1.79, -0.60
 540,    8, 33.7, -0.76, -1.76, -0.61
 555,    8, 33.8, -0.76, -1.79, -0.62
 570,    8, 34.0, -0.76, -1.78, -0.65
 585,    8, 34.1, -0.74, -1.78, -0.62
 600,    8, 34.2, -0.74, -1.78, -0.65
