
time,   dc, temp, xaxis, yaxis, zaxis
  15,    0, 28.0, -0.68, -2.08,  0.49
  30,    1, 28.5, -0.69, -2.00,  0.48
  45,    1, 28.9, -0.68, -1.92,  0.47
  60,    1, 29.2, -0.68, -1.88,  0.49
  75,    1, 29.5, -0.62, -1.86,  0.49
  90,    1, 29.7, -0.63, -1.82,  0.48
 105,    2, 30.0, -0.60, -1.79,  0.46
 120,    2, 30.3, -0.65, -1.69,  0.48
 135,    2, 30.5, -0.68, -1.55,  0.49
 150,    2, 30.7, -0.68, -1.57,  0.47
 165,    2, 30.9, -0.66, -1.54,  0.48
 180,    2, 31.1, -0.63, -1.52,  0.49
 195,    2, 31.2, -0.62, -1.50,  0.50
 210,    2, 31.3, -0.60, -1.49,  0.51
 225,    2, 31.4, -0.66, -1.45,  0.49
 240,    2, 31.6, -0.59, -1.48,  0.51
 255,    3, 31.7, -0.61, -1.44,  0.52
 270,    4, 31.9, -0.59, -1.40,  0.50
 285,    5, 32.2, -0.60, -1.37,  0.51
 300,    6, 32.5, -0.57, -1.34,  0.50
 315,    6, 32.7, -0.62, -1.27,  0.52
 330,    7, 32.9, -0.60, -1.28,  0.51
 345,    8, 33.0, -0.60, -1.25,  0.50
 360,   10, 33.2, -0.58, -1.25,  0.51
 375,   10, 33.4, -0.58, -1.23,  0.52
 390,   10, 33.5, -0.56, -1.20,  0.50
 405,   10, 33.7, -0.53, -1.23,  0.51
 420,   10, 33.8, -0.60, -1.14,  0.49
 435,   10, 33.9, -0.57, -1.19,  0.49
 450,   10, 34.0, -0.57, -1.19,  0.49
 465,   10, 34.2, -0.59, -1.18,  0.48
 480,   10, 34.2, -0.53, -1.18,  0.47
 495,   11, 34.4, -0.58, -1.13,  0.48
 510,   12, 34.5, -0.58, -1.12,  0.48
 525,   12, 34.6, -0.58, -1.14,  0.47
 540,   12, 34.7, -0.58, -1.15,  0.47
 555,   12, 34.8, -0.59, -1.16,  0.45
 570,   13, 34.9, -0.60, -1.14,  0.46
 585,   13, 35.0, -0.59, -1.14,  0.45
 600,   15, 35.0, -0.57, -1.15,  0.45
 615,   15, 35.2, -0.58, -1.18,  0.46
 630,   15, 35.3, -0.61, -1.14,  0.42
