 temp, xaxis, yaxis, zaxis
 22.8, -0.57, -2.25, -0.89
 23.1, -0.57, -2.24, -0.89
 23.4, -0.55, -2.24, -0.88
 23.7, -0.59, -2.20, -0.89
 24.0, -0.58, -2.21, -0.87
 24.2, -0.59, -2.21, -0.91
 24.3, -0.57, -2.21, -0.93
 24.5, -0.54, -2.20, -0.89
 25.1, -0.57, -2.15, -0.91
 26.0, -0.57, -2.16, -0.91
 26.8, -0.60, -2.10, -0.93
 27.4, -0.59, -2.08, -0.94
 27.9, -0.58, -2.09, -0.92
 28.4, -0.61, -2.03, -0.92
 28.8, -0.64, -2.03, -0.94
 29.3, -0.62, -2.00, -0.95
 29.7, -0.61, -2.02, -0.97
 30.1, -0.61, -2.03, -0.97
 30.4, -0.62, -2.00, -0.95
 30.7, -0.63, -1.98, -0.98
 31.1, -0.63, -1.95, -0.96
 31.3, -0.63, -1.96, -0.97
 31.6, -0.63, -1.95, -1.01
 31.9, -0.62, -1.94, -0.95
 32.2, -0.65, -1.95, -0.96
 32.4, -0.66, -1.93, -0.97
 32.7, -0.62, -1.91, -0.97
 32.9, -0.65, -1.91, -0.97
 33.2, -0.66, -1.91, -0.96
 33.4, -0.64, -1.92, -0.96
 33.6, -0.65, -1.90, -0.97
 33.8, -0.65, -1.90, -0.96
 34.0, -0.65, -1.87, -1.01
 34.3, -0.66, -1.86, -0.97
 34.4, -0.67, -1.86, -1.01
 34.6, -0.68, -1.86, -1.02
 34.8, -0.69, -1.87, -0.98
 34.9, -0.66, -1.86, -0.98
 35.1, -0.65, -1.86, -1.00
 35.2, -0.62, -1.83, -1.01
 35.4, -0.66, -1.83, -0.98
 35.6, -0.69, -1.85, -1.00
 36.1, -0.67, -1.83, -1.01
 36.5, -0.68, -1.80, -1.01
 36.9, -0.69, -1.82, -0.99
 37.1, -0.69, -1.77, -1.00
 37.4, -0.67, -1.80, -1.00
 37.6, -0.66, -1.81, -1.00
 37.9, -0.69, -1.78, -1.00
 38.0, -0.69, -1.76, -0.98
 38.2, -0.68, -1.75, -1.03
 38.4, -0.68, -1.77, -1.02
 38.6, -0.70, -1.75, -0.99
 38.8, -0.69, -1.76, -1.01
 38.9, -0.69, -1.74, -1.01
 39.1, -0.68, -1.74, -1.00
 39.2, -0.70, -1.74, -1.01
 39.4, -0.68, -1.73, -1.03
 39.5, -0.69, -1.72, -1.05
 39.6, -0.68, -1.73, -1.02
 39.7, -0.67, -1.74, -1.01
 39.9, -0.67, -1.73, -1.03
 40.0, -0.70, -1.71, -1.03
 40.1, -0.71, -1.73, -1.04
 40.2, -0.68, -1.70, -1.00
 40.3, -0.69, -1.71, -1.05
 40.4, -0.70, -1.71, -1.02
 40.5, -0.70, -1.71, -1.02
 40.6, -0.73, -1.67, -1.05
 40.7, -0.69, -1.72, -1.03
 40.8, -0.72, -1.69, -1.04
 40.9, -0.71, -1.70, -1.02
 41.0, -0.73, -1.67, -1.07
 41.1, -0.70, -1.68, -1.03
 41.2, -0.70, -1.67, -1.03
 41.2, -0.72, -1.67, -1.05
 41.3, -0.72, -1.66, -1.03
 41.4, -0.66, -1.68, -1.07
