 temp, xaxis, yaxis, zaxis
 23.5,  0.58, -0.96, -0.61
 23.6,  0.59, -0.92, -0.62
 23.7,  0.55, -0.97, -0.60
 23.9,  0.59, -0.95, -0.60
 24.1,  0.58, -0.94, -0.59
 24.2,  0.57, -0.95, -0.60
 24.4,  0.58, -0.92, -0.61
 24.5,  0.61, -1.00, -0.60
 24.7,  0.60, -0.96, -0.58
 24.9,  0.61, -0.94, -0.60
 24.9,  0.58, -0.94, -0.57
 25.4,  0.57, -0.92, -0.58
 26.0,  0.59, -0.97, -0.56
 26.4,  0.62, -0.95, -0.57
 26.7,  0.65, -0.94, -0.56
 27.0,  0.64, -0.94, -0.57
 27.3,  0.65, -0.92, -0.56
 27.6,  0.66, -0.95, -0.57
 27.9,  0.68, -0.96, -0.55
 28.3,  0.66, -0.93, -0.56
 28.7,  0.70, -0.96, -0.55
 29.0,  0.69, -0.94, -0.56
 29.3,  0.70, -0.93, -0.56
 29.6,  0.71, -0.96, -0.56
 29.8,  0.69, -0.93, -0.56
 30.1,  0.72, -0.95, -0.55
 30.4,  0.71, -0.92, -0.55
 30.7,  0.75, -0.91, -0.55
 30.9,  0.72, -0.93, -0.57
 31.1,  0.75, -0.91, -0.57
 31.3,  0.74, -0.91, -0.54
 31.5,  0.76, -0.95, -0.54
 31.8,  0.73, -0.93, -0.56
 32.0,  0.76, -0.91, -0.55
 32.2,  0.76, -0.91, -0.56
 32.3,  0.75, -0.90, -0.55
 32.5,  0.78, -0.95, -0.58
 32.7,  0.75, -0.95, -0.55
 32.8,  0.77, -0.93, -0.58
 33.0,  0.77, -0.88, -0.55
 33.1,  0.75, -0.94, -0.56
 33.2,  0.75, -0.95, -0.56
 33.4,  0.78, -0.92, -0.59
 33.5,  0.77, -0.93, -0.56
 33.7,  0.75, -0.92, -0.57
 33.8,  0.79, -0.95, -0.57
 33.9,  0.75, -0.93, -0.57
 34.0,  0.75, -0.94, -0.57
 34.2,  0.79, -0.93, -0.56
 34.3,  0.78, -0.92, -0.56
 34.4,  0.79, -0.89, -0.57
 34.5,  0.79, -0.93, -0.57
 34.7,  0.78, -0.92, -0.59
 34.8,  0.79, -0.93, -0.56
 35.0,  0.81, -0.93, -0.59
 35.1,  0.80, -0.88, -0.59
 35.3,  0.78, -0.93, -0.59
 35.3,  0.80, -0.90, -0.60
 35.4,  0.79, -0.88, -0.57
 35.6,  0.79, -0.89, -0.60
 35.7,  0.77, -0.90, -0.61
 35.8,  0.79, -0.87, -0.62
 35.8,  0.80, -0.88, -0.61
 35.9,  0.77, -0.90, -0.62
 36.0,  0.79, -0.87, -0.60
 36.1,  0.80, -0.94, -0.63
 36.2,  0.82, -0.91, -0.62
 36.3,  0.83, -0.93, -0.60
 36.5,  0.80, -0.88, -0.63
 36.6,  0.80, -0.93, -0.61
 36.6,  0.81, -0.89, -0.61
 36.8,  0.79, -0.88, -0.62
 36.8,  0.84, -0.91, -0.60
 37.0,  0.85, -0.90, -0.61
 37.1,  0.83, -0.90, -0.64
 37.2,  0.82, -0.90, -0.61
 37.2,  0.80, -0.88, -0.62
 37.4,  0.84, -0.91, -0.63
 37.5,  0.82, -0.91, -0.60
 37.6,  0.81, -0.90, -0.63
 37.6,  0.83, -0.90, -0.63
 37.7,  0.81, -0.90, -0.64
 37.9,  0.84, -0.90, -0.64
 38.1,  0.82, -0.92, -0.64
 38.2,  0.84, -0.92, -0.61
 38.4,  0.84, -0.89, -0.63
 38.5,  0.83, -0.89, -0.64
 38.7,  0.84, -0.90, -0.63
 38.8,  0.85, -0.92, -0.62
 38.9,  0.85, -0.90, -0.66
 39.1,  0.88, -0.90, -0.65
 39.2,  0.85, -0.89, -0.66
 39.3,  0.86, -0.93, -0.65
 39.5,  0.85, -0.89, -0.66
 39.5,  0.86, -0.88, -0.66
 39.6,  0.87, -0.87, -0.67
 39.8,  0.86, -0.87, -0.66
 39.9,  0.86, -0.88, -0.66
 40.0,  0.86, -0.89, -0.66
